head,tail,relation,score
pip方式,MindSpore Ascend,安装,0.9910195469856262
pip方式,910,版本,0.9929637908935547
MindSpore Ascend,910,版本,0.9973664879798889
pip方式,MindSpore,安装,0.9910436868667603
pip方式,Ascend,安装,0.9910701513290405
pip方式,91,版本,0.9936529397964478
pip方式,mindspore-ascend,安装,0.9908728003501892
pip方式,910,版本,0.9947245717048645
pip方式,版本,安装,0.9479550719261169
MindSpore,Ascend,安装,0.990237295627594
MindSpore,91,版本,0.9973766803741455
MindSpore,mindspore-ascend,安装,0.989319920539856
MindSpore,910,版本,0.9973861575126648
Ascend,91,版本,0.9973739385604858
Ascend,mindspore-ascend,安装,0.9872121214866638
Ascend,910,版本,0.997386634349823
Ascend,版本,使用安装,0.9015669226646423
91,mindspore-ascend,版本,0.9973445534706116
91,910,版本,0.9973405003547668
91,版本,版本,0.9848713278770447
mindspore-ascend,910,版本,0.9973760843276978
910,版本,版本,0.9881177544593811
Open MPI,open-mpi-,工具安装,0.9931366443634033
MindSpore,版本,使用安装,0.9925893545150757
版本,mindspore,使用安装,0.9913382530212402
https://gitee.com/mindspore/docs/blob/r1.7/install/mindspore_ascend_install_pip.md,https://mindspore-website.obs.cn-north-4.myhuaweicloud.com/website-images/r1.7/resource/_static/logo_source.png,使用参考,0.8366251587867737
Ascend,910,版本,0.9973956346511841
Ascend,Linux,上面安装,0.9817419648170471
Ascend,MindSpore,上面安装,0.9613814353942871
910,Linux,版本,0.9956367611885071
910,pip方式,版本,0.9963170289993286
910,MindSpore,版本,0.9974135756492615
Linux,MindSpore,上面安装,0.9808370471000671
pip方式,MindSpore,安装,0.98868727684021
昇腾AI处理器配套软件包,EulerOS 2.8,上面安装,0.9894096851348877
昇腾AI处理器配套软件包,pip,工具安装,0.9839116334915161
昇腾AI处理器配套软件包,MindSpore,工具安装,0.9854108095169067
昇腾AI处理器配套软件包,脚本,使用安装,0.9897632598876953
昇腾AI处理器配套软件包,依赖,使用安装,0.9887856245040894
EulerOS 2.8,pip,上面安装,0.9722071886062622
EulerOS 2.8,MindSpore,上面安装,0.9701831340789795
EulerOS 2.8,脚本,使用安装,0.8048324584960938
EulerOS 2.8,依赖,使用安装,0.8813725709915161
pip,MindSpore,工具安装,0.9899013042449951
pip,脚本,使用安装,0.9898728132247925
pip,https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-pip.sh,使用参考,0.8677883744239807
pip,依赖,使用安装,0.9903172254562378
MindSpore,脚本,使用安装,0.991999626159668
MindSpore,https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-pip.sh,使用参考,0.8624652624130249
MindSpore,依赖,使用安装,0.9916403293609619
脚本,https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-pip.sh,详情参考,0.9882273077964783
https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-pip.sh,依赖,详情参考,0.9823144674301147
系统,Python,使用安装,0.9912450909614563
系统,GCC,使用安装,0.9921100735664368
Ubuntu 18.04,CentOS 7.6,上面安装,0.9878717660903931
Ubuntu 18.04,OpenEuler 20.03,上面安装,0.9887806177139282
Ubuntu 18.04,KylinV10 SP1,上面安装,0.9898247122764587
Ubuntu 18.04,Python,上面安装,0.9905576705932617
Ubuntu 18.04,GCC,上面安装,0.9906231760978699
CentOS 7.6,OpenEuler 20.03,上面安装,0.9879565834999084
CentOS 7.6,KylinV10 SP1,上面安装,0.9894217848777771
CentOS 7.6,Python,上面安装,0.9904386401176453
CentOS 7.6,GCC,上面安装,0.990529477596283
OpenEuler 20.03,KylinV10 SP1,上面安装,0.9891531467437744
OpenEuler 20.03,Python,上面安装,0.9902856945991516
OpenEuler 20.03,GCC,上面安装,0.9903051853179932
KylinV10 SP1,Python,上面安装,0.9901896119117737
KylinV10 SP1,GCC,上面安装,0.9901424646377563
依赖,Python,使用安装,0.9896895885467529
依赖,GCC,使用安装,0.9906512498855591
Python,GCC,上面安装,0.9855253100395203
脚本,昇腾AI处理器配套软件包,使用安装,0.9918145537376404
脚本,昇腾ai处理器配套软件包,使用安装,0.9915487170219421
系统,昇腾AI处理器配套软件包,使用安装,0.9910473227500916
系统,昇腾ai处理器配套软件包,使用安装,0.9908177852630615
命令,脚本,创建或使用关联,0.9901710152626038
命令,MindSpore,使用安装,0.9932460784912109
命令,1.6.0,版本,0.9355500936508179
脚本,MindSpore,使用安装,0.993177056312561
脚本,1.6.0,版本,0.9627906084060669
MindSpore,1.6.0,版本,0.9973816275596619
wge,"https://gitee.com/mindspore/mindspore/raw/r1.7/scripts/install/euleros-ascend-pip.sh
",编译安装,0.957791805267334
MindSpore,1.7.0,版本,0.9973840117454529
MindSpore,Python ,工具安装,0.9905084371566772
MindSpore,3.7,版本,0.9973729848861694
1.7.0,Python ,版本,0.9973964691162109
1.7.0,3.7,版本,0.9973260164260864
Python ,3.7,版本,0.9973800778388977
Python,MindSpore,工具安装,0.9923787117004395
Python,版本,使用安装,0.9931043982505798
Python,3.9,版本,0.9973958730697632
Python,1.6.0,版本,0.9973922967910767
MindSpore,版本,使用安装,0.9931714534759521
MindSpore,3.9,版本,0.9973989725112915
MindSpore,1.6.0,版本,0.997394323348999
版本,3.9,版本,0.8548890352249146
3.9,1.6.0,版本,0.9973537921905518
MindSpore,依赖,使用安装,0.9933506846427917
MindSpore,GCC,工具安装,0.9931465983390808
MindSpore,gmp,工具安装,0.9931036829948425
依赖,GCC,使用安装,0.9933265447616577
依赖,gmp,使用安装,0.9933439493179321
GCC,gmp,工具安装,0.9930967688560486
APT,Python,安装,0.9489433765411377
APT,3,版本,0.9973638653755188
APT,pip3,安装,0.9818277955055237
Python,3,版本,0.9973835349082947
Python,pip3,工具安装,0.9930421113967896
3,pip3,版本,0.9973701238632202
pip,MindSpore,工具安装,0.992965579032898
pip,Ascend,工具安装,0.9929298758506775
pip,版本,使用安装,0.9929060935974121
MindSpore,Ascend,工具安装,0.9929690957069397
MindSpore,版本,使用安装,0.9927654266357422
Ascend,版本,使用安装,0.990846574306488
OPENMPI,Open MPI,工具安装,0.9932030439376831
脚本,终端窗口,创建或使用关联,0.9900667667388916
脚本,环境变量,创建或使用关联,0.9909701347351074
终端窗口,环境变量,创建或使用关联,0.991520345211029
脚本,MindSpore,使用安装,0.9930304884910583
脚本,虚拟环境,创建或使用关联,0.991418719291687
脚本,Python,使用安装,0.9930174350738525
脚本,版本,创建或使用关联,0.9892467856407166
脚本,3.7,版本,0.9374644160270691
脚本,命令,创建或使用关联,0.9883816838264465
MindSpore,虚拟环境,使用安装,0.8988462686538696
MindSpore,Python,工具安装,0.9847571849822998
MindSpore,版本,使用安装,0.9848840236663818
MindSpore,3.7,版本,0.9972671270370483
MindSpore,命令,使用安装,0.9821198582649231
虚拟环境,Python,使用安装,0.9904223680496216
虚拟环境,版本,创建或使用关联,0.9899755120277405
虚拟环境,3.7,版本,0.8326594829559326
虚拟环境,命令,创建或使用关联,0.9902999401092529
Python,版本,使用安装,0.9909842014312744
Python,3.7,版本,0.9972726702690125
Python,命令,使用安装,0.9899849891662598
版本,3.7,版本,0.9324435591697693
版本,命令,创建或使用关联,0.9885517358779907
Python,3.7,版本,0.9973363280296326
Python,命令,使用安装,0.9906925559043884
Python,虚拟环境,使用安装,0.9734111428260803
3.7,命令,版本,0.8482497930526733
命令,虚拟环境,创建或使用关联,0.9916331768035889
MindSpore,系统环境,使用安装,0.9894931316375732
MindSpore,依赖,使用安装,0.9931558966636658
系统环境,依赖,创建或使用关联,0.9903483390808105
软件名称,版本,创建或使用关联,0.989840030670166
Ubuntu 18.04,CentOS 7.6,上面安装,0.9854873418807983
Ubuntu 18.04,EulerOS 2.8,上面安装,0.9858621954917908
Ubuntu 18.04,OpenEuler 20.03,上面安装,0.9871234893798828
Ubuntu 18.04,KylinV10 SP1,上面安装,0.9856505990028381
Ubuntu 18.04,编译运行M,上面安装,0.985270082950592
Ubuntu 18.04,i,上面安装,0.9907638430595398
Ubuntu 18.04,n,上面安装,0.9861778020858765
Ubuntu 18.04,d,上面安装,0.9907763600349426
Ubuntu 18.04,S,上面安装,0.9860135912895203
Ubuntu 18.04,p,上面安装,0.9907371401786804
Ubuntu 18.04,o,上面安装,0.9865111112594604
Ubuntu 18.04,re,上面安装,0.9908357858657837
CentOS 7.6,EulerOS 2.8,上面安装,0.9851189255714417
CentOS 7.6,OpenEuler 20.03,上面安装,0.9860858917236328
CentOS 7.6,KylinV10 SP1,上面安装,0.9847890138626099
CentOS 7.6,编译运行M,上面安装,0.9842169284820557
CentOS 7.6,i,上面安装,0.9906346201896667
CentOS 7.6,n,上面安装,0.9854314923286438
CentOS 7.6,d,上面安装,0.9906546473503113
CentOS 7.6,S,上面安装,0.9851175546646118
CentOS 7.6,p,上面安装,0.990591824054718
CentOS 7.6,o,上面安装,0.9856461882591248
CentOS 7.6,re,上面安装,0.9907445311546326
EulerOS 2.8,OpenEuler 20.03,上面安装,0.9857693314552307
EulerOS 2.8,KylinV10 SP1,上面安装,0.9848783612251282
EulerOS 2.8,编译运行M,上面安装,0.9841790795326233
EulerOS 2.8,i,上面安装,0.9907006025314331
EulerOS 2.8,n,上面安装,0.9857276082038879
EulerOS 2.8,d,上面安装,0.9907034635543823
EulerOS 2.8,S,上面安装,0.9854432344436646
EulerOS 2.8,p,上面安装,0.9906579256057739
EulerOS 2.8,o,上面安装,0.9854944944381714
EulerOS 2.8,re,上面安装,0.9907712936401367
OpenEuler 20.03,KylinV10 SP1,上面安装,0.984751284122467
OpenEuler 20.03,编译运行M,上面安装,0.9841597676277161
OpenEuler 20.03,i,上面安装,0.9909398555755615
OpenEuler 20.03,n,上面安装,0.9855688214302063
OpenEuler 20.03,d,上面安装,0.9909183979034424
OpenEuler 20.03,S,上面安装,0.9853330254554749
OpenEuler 20.03,p,上面安装,0.9908778071403503
OpenEuler 20.03,o,上面安装,0.9854716658592224
OpenEuler 20.03,re,上面安装,0.991004467010498
KylinV10 SP1,编译运行M,上面安装,0.9837802052497864
KylinV10 SP1,i,上面安装,0.9907480478286743
KylinV10 SP1,n,上面安装,0.9856271743774414
KylinV10 SP1,d,上面安装,0.9907625317573547
KylinV10 SP1,S,上面安装,0.9845775961875916
KylinV10 SP1,p,上面安装,0.9907518625259399
KylinV10 SP1,o,上面安装,0.9851962327957153
KylinV10 SP1,re,上面安装,0.9907653331756592
编译运行M,i,上面安装,0.9828159213066101
编译运行M,n,上面安装,0.9856195449829102
编译运行M,d,上面安装,0.9788483381271362
编译运行M,S,上面安装,0.9845600128173828
编译运行M,p,上面安装,0.9785974621772766
编译运行M,o,上面安装,0.98457932472229
编译运行M,re,上面安装,0.9836318492889404
i,n,上面安装,0.9902265071868896
i,d,上面安装,0.9831158518791199
i,S,上面安装,0.9906730055809021
i,p,上面安装,0.9763748049736023
i,o,上面安装,0.9905269145965576
i,re,上面安装,0.9860266447067261
n,d,上面安装,0.9902986288070679
n,S,上面安装,0.9854984283447266
n,p,上面安装,0.9899089336395264
n,o,上面安装,0.9855747222900391
n,re,上面安装,0.990490198135376
d,S,上面安装,0.9906486868858337
d,p,上面安装,0.9766613841056824
d,o,上面安装,0.9904955625534058
d,re,上面安装,0.9789339303970337
S,p,上面安装,0.9905585050582886
S,o,上面安装,0.9851474165916443
S,re,上面安装,0.990687906742096
p,o,上面安装,0.9905244708061218
p,re,上面安装,0.9812434315681458
o,re,上面安装,0.9907776117324829
Python,3.7-3.9,版本,0.99737548828125
Python,MindSpore,工具安装,0.9931024312973022
Python,依赖,使用安装,0.9923417568206787
Python,环境,使用安装,0.9899895191192627
python,3.7-3.9,版本,0.9973837733268738
python,MindSpore,工具安装,0.9929487705230713
python,依赖,使用安装,0.9820550084114075
python,环境,使用安装,0.9762617349624634
3.7-3.9,MindSpore,版本,0.9974057078361511
3.7-3.9,依赖,版本,0.9542754292488098
3.7-3.9,环境,版本,0.9495054483413696
MindSpore,依赖,使用安装,0.992510199546814
MindSpore,环境,使用安装,0.990301251411438
依赖,环境,创建或使用关联,0.9906358122825623
昇腾AI处理器配套软件包,MindSpore,工具安装,0.9930074214935303
昇腾AI处理器配套软件包,Ascend,工具安装,0.9929941296577454
昇腾AI处理器配套软件包,AI计算库,使用安装,0.9920139908790588
昇腾ai处理器配套软件包,MindSpore,工具安装,0.9930235147476196
昇腾ai处理器配套软件包,Ascend,工具安装,0.9930118918418884
昇腾ai处理器配套软件包,AI计算库,使用安装,0.9921414852142334
MindSpore,Ascend,工具安装,0.9930275082588196
MindSpore,AI计算库,使用安装,0.9922569990158081
Ascend,AI计算库,使用安装,0.9920958876609802
